Source,Target,Type,Id,Label,Weight
afghanistan,russia,Undirected,3186,,4644
afghanistan,ukraine,Undirected,3187,,10183
afghanistan,ukraine_war,Undirected,3188,,2953
africa,russia,Undirected,3189,,5337
africa,ukraine,Undirected,3190,,4356
afu,kharkiv,Undirected,3191,,4144
afu,khersonisukraine,Undirected,3192,,5071
ai,putin,Undirected,3193,,1834
animation,nft,Undirected,3194,,2646
anonymous,fuckputin,Undirected,3195,,2269
anonymous,oprussia,Undirected,3196,,2388
anonymous,putinwarcrimes,Undirected,3197,,1971
anonymous,russia,Undirected,3198,,3881
anonymous,stop_ru_war,Undirected,3199,,1545
anonymous,support_ukr,Undirected,3200,,2472
anonymous,ukraine,Undirected,3201,,7872
anonymous,ukraine_invasion,Undirected,3202,,1583
anonymous,ukraine_war,Undirected,3203,,5801
armenia,azerbaijan,Undirected,3204,,1794
armenia,russia,Undirected,3205,,4850
armenia,ukraine,Undirected,3206,,1448
armukrainenow,afu,Undirected,3207,,5860
armukrainenow,atacmsforukraine,Undirected,3208,,1538
armukrainenow,crimea,Undirected,3209,,6083
armukrainenow,genocideofukrainians,Undirected,3210,,4164
armukrainenow,kharkiv,Undirected,3211,,4443
armukrainenow,khersonisukraine,Undirected,3212,,5090
armukrainenow,misstrauensvotum,Undirected,3213,,1365
armukrainenow,natoinukrainenow,Undirected,3214,,1750
armukrainenow,putinwarcrimes,Undirected,3215,,4538
armukrainenow,ru_terroriststate,Undirected,3216,,22749
armukrainenow,ru_warcrimes,Undirected,3217,,7460
armukrainenow,russia,Undirected,3218,,7798
armukrainenow,russiaterroriststate,Undirected,3219,,2268
armukrainenow,slavaukraini,Undirected,3220,,12873
armukrainenow,stop_ru_war,Undirected,3221,,22585
armukrainenow,stop_ru_warnaggression,Undirected,3222,,3689
armukrainenow,support_ukr,Undirected,3223,,43938
armukrainenow,surrenderputin,Undirected,3224,,1355
armukrainenow,ukraine,Undirected,3225,,35483
armukrainenow,ukraine_war,Undirected,3226,,25949
armukrainenow,ukrainewillwin,Undirected,3227,,11097
army,donetsk,Undirected,3228,,6212
army,military,Undirected,3229,,7690
army,nato,Undirected,3230,,7155
army,odessa,Undirected,3231,,3276
army,russia,Undirected,3232,,7587
army,soldier,Undirected,3233,,5650
army,specialforces,Undirected,3234,,7035
army,ukraine,Undirected,3235,,10345
army,ukrainenews,Undirected,3236,,4241
army,ukrainianarmy,Undirected,3237,,1552
art,artist,Undirected,3238,,1329
art,nft,Undirected,3239,,6742
art,ukraine,Undirected,3240,,9233
assad,putin,Undirected,3241,,3018
australia,russia,Undirected,3242,,3025
australia,ukraine,Undirected,3243,,4279
austria,germany,Undirected,3244,,4116
austria,kherson,Undirected,3245,,3674
austria,mykolaiv,Undirected,3246,,3662
austria,ukraine,Undirected,3247,,4711
azerbaijan,russia,Undirected,3248,,4607
azerbaijan,ukraine,Undirected,3249,,3359
azov,mariupol,Undirected,3250,,3226
azov,russia,Undirected,3251,,3851
azov,ukraine,Undirected,3252,,8404
azov,ukraine_war,Undirected,3253,,5774
azovstal,azov,Undirected,3254,,1347
azovstal,mariupol,Undirected,3255,,5678
azovstal,russia,Undirected,3256,,3801
azovstal,support_ukr,Undirected,3257,,1382
azovstal,ukraine,Undirected,3258,,8086
azovstal,ukraine_war,Undirected,3259,,7328
bakhmut,amireca,Undirected,3260,,5786
bakhmut,russia,Undirected,3261,,10549
bakhmut,ukraine,Undirected,3262,,52482
bakhmut,ukraine_war,Undirected,3263,,10521
bakhmut,usa,Undirected,3264,,30450
bakhmut,usavirn,Undirected,3265,,1852
