Id,weight,modularity_class,Degree,Weighted Degree,X,Y,Size,Color
1d,1068,82,15,1068,424.581635,-394.2276,10.637115,"#00f2ff"
inizon,1068,82,15,1068,385.372131,-448.465057,10.637115,"#00f2ff"
ティプシー,1434,82,16,1434,384.920227,-327.453796,10.858144,"#00f2ff"
abolishnato,524,7,13,524,-138.893906,232.278931,10.308594,"#d4785e"
colonialism,1289,35,20,1289,-410.001434,-386.722107,10.770578,"#9555a4"
istandwithrussia,46599,1,216,46599,111.965942,198.486465,38.133339,"#ff86ff"
naziukraine,39966,0,267,39966,80.311874,-260.756714,34.127663,"#ff6922"
afghanistan,204,2,7,204,-269.645966,-27.441677,10.115345,"#6e2345"
iraq,507,2,15,507,-274.918579,-88.7369,10.298327,"#6e2345"
istandwithputin,49690,1,209,49690,135.003601,343.821899,40,"#ff86ff"
syria,617,2,17,617,-242.857468,-77.54995,10.364757,"#6e2345"
zelenskywarcriminal,49181,5,378,49141,273.830627,128.893631,39.692612,"#16a6cc"
africa,780,6,20,780,-300.270386,-118.823433,10.463192,"#96d0ff"
putin,30464,61,162,30464,289.695068,-292.507538,28.389395,"#a26b00"
russia,40080,3,226,40066,-290.16922,-302.182129,34.19651,"#ff72c0"
standwithputin,6660,4,60,6660,334.22287,-152.109161,14.014132,"#00f400"
standwithrussia,15575,4,154,15575,291.511139,-81.940529,19.397911,"#00f400"
ukraine,44870,5,277,44852,547.644775,288.055054,37.089195,"#16a6cc"
african,1021,35,23,1021,-423.190674,-344.73819,10.608732,"#9555a4"
azov,8410,0,60,8410,184.862213,-528.878052,15.070959,"#ff6922"
azovbattalion,2417,0,38,2417,-68.496162,-472.834961,11.451778,"#ff6922"
empireoflies,2318,15,27,2318,-85.644287,-267.545532,11.391993,"#ffc0bb"
gaza,441,35,11,441,-366.948822,-379.305969,10.25847,"#9555a4"
india,2931,6,42,2931,-366.680939,-153.508148,11.762184,"#96d0ff"
indians,350,35,14,350,-335.93692,-400.275269,10.203515,"#9555a4"
palestine,747,35,25,747,-380.793549,-334.823822,10.443263,"#9555a4"
putinisright,3513,6,46,3513,-262.188141,-189.977417,12.113654,"#96d0ff"
africansinukraine,1550,7,27,1550,-128.404633,189.35083,10.928196,"#d4785e"
china,5493,6,46,5493,-341.384308,-120.88089,13.309379,"#96d0ff"
indiansinukraine,213,7,8,213,-193.728821,248.504501,10.12078,"#d4785e"
indianstudentsinukraine,630,7,14,630,-127.453575,257.842804,10.372607,"#d4785e"
racism,245,7,7,245,-170.826492,217.61351,10.140105,"#d4785e"
russian,16317,8,94,16317,-259.843018,72.947769,19.846004,"#007465"
usa,15655,9,101,15655,-139.389923,-457.167114,19.446222,"#d6cf7b"
afu,60,0,3,60,185.102402,-283.85199,10.028383,"#ff6922"
againussr,240,77,8,240,-109.743431,440.12323,10.137086,"#004c63"
nato,13109,25,112,13109,-419.347046,-109.319366,17.908689,"#00ebff"
stopnato,629,77,15,629,-126.960846,410.124939,10.372004,"#004c63"
allthethingshesaid,252,82,12,252,337.362579,-458.865662,10.144332,"#00f2ff"
tatu,252,82,12,252,342.767242,-319.139984,10.144332,"#00f2ff"
america,1258,10,24,1258,-119.17662,57.113052,10.751857,"#de2335"
biden,2990,13,41,2990,131.841217,-14.416603,11.797813,"#00aa6e"
europe,5435,8,34,5435,-329.856384,97.192429,13.274352,"#007465"
europeanunion,956,45,29,956,-2.576527,-14.255258,10.569479,"#ff76ff"
kyiv,3075,11,43,3075,-159.966156,69.681473,11.849146,"#ff6f7f"
